title,drive_link,class_tag,is_free,search_keywords
Chemistry-2022-12thpdf,https://drive.google.com/file/d/11wsd1q25LY3Glj4pbCUZj9pu9mQsZW-k/view?usp=drivesdk,12thno,Chemistry
Chemistry-2020-12thpdf,https://drive.google.com/file/d/1W4O-cXV85CXcyKZU8V95uZ4wmuF0KYr9/view?usp=drivesdk,12th,no,Chemistry
Chemistry-2019-12thpdf,https://drive.google.com/file/d/1ygLFIxHzwwTtDFjuWy1dfIPf8pOd5nYW/view?usp=drivesdk,12th,no,Chemistry
Chemistry-2018-12thpdf,https://drive.google.com/file/d/1WNGY8-6aVUmQD1dm5kXDrvmD-07ZTJmW/view?usp=drivesdk,12th,no,Chemistry
Chemistry-2010-12thpdf,https://drive.google.com/file/d/1rF9XfpzU9Wc6wCdk-E_4HCv3vcsssQOS/view?usp=drivesdk,12th,no,Chemistry
Business-Studies-2020-12thpdf,https://drive.google.com/file/d/1221XXI0h9LxZag_c7gl4rcEUQWrCQ9Hs/view?usp=drivesdk,12th,no,Business
Business-Studies-2023-12thpdf,https://drive.google.com/file/d/1LR_RXWrx51VMFN3wnfv7ir2_P2lao8kz/view?usp=drivesdk,12th,no,Business
Business-Studies-2025-12thpdf,https://drive.google.com/file/d/1EIBeb-m2_k3SZPKRbalKZ-qj8WSE1Pii/view?usp=drivesdk,12th,no,Business
Botany-2025-12thpdf,https://drive.google.com/file/d/18izMdKWoqvCanQcP3KoU1Ad2h4EmsOmd/view?usp=drivesdk,12th,no,Botany
Botany-2023-12thpdf,https://drive.google.com/file/d/1uXz-4HtfBssgQ-K1wLV6eoXutQK4yJcy/view?usp=drivesdk,12th,no,Botany
Botany-2022-12thpdf,https://drive.google.com/file/d/1ve5VhPwMuiKe78HpXS83MiAK8OBS8HjS/view?usp=drivesdk,12th,no,Botany
Botany-2021-12thpdf,https://drive.google.com/file/d/1SYZFqJW1lo9ptZ3wmQTG8tKMM9cOTwiX/view?usp=drivesdk,12th,no,Botany
Botany-2020-12thpdf,https://drive.google.com/file/d/1_EXq72pihbD-DsX_mV8SpueZKXnIIDkc/view?usp=drivesdk,12th,no,Botany
Botany-2018-12thpdf,https://drive.google.com/file/d/157Ds5fNvHpzwgIQ90He44jewwt7bv7J0/view?usp=drivesdk,12th,no,Botany
Accountancy-2025-12thpdf,https://drive.google.com/file/d/1eOjtjwcAw3AbhkxA_iA-xmffJcv1opzn/view?usp=drivesdk,12th,no,Accountancy
Accountancy-2023-12thpdf,https://drive.google.com/file/d/1s6Is3eOV2Ek3eD3jWd2tTDlAJjoHwEIN/view?usp=drivesdk,12th,no,Accountancy
Accountancy-2020-12thpdf,https://drive.google.com/file/d/1rUtLrZ77BXp6c3Bjal51lD3WxEn6hPbj/view?usp=drivesdk,12th,no,Accountancy
Accountancy-2019-12thpdf,https://drive.google.com/file/d/1OUwf3Gc4CdoAVYfck9PGejKVz-It_1X1/view?usp=drivesdk,12th,no,Accountancy
Botany-2019-12thpdf,https://drive.google.com/file/d/1FV2T8ocmOuX8BFKqFgEctHIo6vd7hlNb/view?usp=drivesdk,12th,no,Botany
Economics-2019-12thpdf,https://drive.google.com/file/d/14ql-amxAivtAA9bqG8I4QtNiTiMZa2u1/view?usp=drivesdk,12th,no,Economics
Economics-2018-12thpdf,https://drive.google.com/file/d/1a13ZVt-skGM-Oaj1PoL-aFKmgELXXkMh/view?usp=drivesdk,12th,no,Economics
Economics-2016-12thpdf,https://drive.google.com/file/d/1jFcNqHziSujeRak8igchnv4J8m6sxvxy/view?usp=drivesdk,12th,no,Economics
Computer-Science-2025-12thpdf,https://drive.google.com/file/d/1wzT7xzUy6GSKSenUkHiRGXFipBnTgO8l/view?usp=drivesdk,12th,no,Computer
Computer-Science-2023-12thpdf,https://drive.google.com/file/d/1upKXmItYe_L3isP4ykIsUlLAQTU4NT4y/view?usp=drivesdk,12th,no,Computer
Computer-Science-2022-12thpdf,https://drive.google.com/file/d/1L9ivAa5FobKF8hheuTnoMjvAp3lVVfLJ/view?usp=drivesdk,12th,no,Computer
Computer-Science-2021-12thpdf,https://drive.google.com/file/d/1iaXuui1MG4ZmSoxt4QlN68znd018jW-h/view?usp=drivesdk,12th,no,Computer
Computer-Science-2020-12thpdf,https://drive.google.com/file/d/144B_hgK6nnZHe04vb-YP-0NzDSYQFscV/view?usp=drivesdk,12th,no,Computer
Chemistry-2025-12thpdf,https://drive.google.com/file/d/1MuajZevkKUw05_8VFLMIqTt1LqGYrklS/view?usp=drivesdk,12th,no,Chemistry
Education-2019-12thpdf,https://drive.google.com/file/d/1kDdZ5JQnBAMUFJBsVGls3YmiZjG_w05t/view?usp=drivesdk,12th,no,Education
Education-2018-12thpdf,https://drive.google.com/file/d/1_t74HmNd30Rv3iqdnwD5BfYwSvHduHTX/view?usp=drivesdk,12th,no,Education
Economics-2025-12thpdf,https://drive.google.com/file/d/1YAS69VLlQcB3n4i-fe8xzIF3YJgVcjz6/view?usp=drivesdk,12th,no,Economics
Economics-2023-12thpdf,https://drive.google.com/file/d/1RuC6Bnv2Gx-eiqmRqqnX7z80HuTVVAHV/view?usp=drivesdk,12th,no,Economics
English-2019-12thpdf,https://drive.google.com/file/d/1CObcTLo9zE43NQ2sPHmmgmknsO6Z6bmQ/view?usp=drivesdk,12th,no,English
Education-2025-12thpdf,https://drive.google.com/file/d/1DOzr2QxqnfzubMlGeM5bnIptnP933UN0/view?usp=drivesdk,12th,no,Education
Education-2023-12thpdf,https://drive.google.com/file/d/1usodRh7vHZBMaRGO6FR78HlbAxevmuY7/view?usp=drivesdk,12th,no,Education
Education-2022-12thpdf,https://drive.google.com/file/d/1gx_8oCCP8yJD8YBu1Y0-UcwXG9yRssq0/view?usp=drivesdk,12th,no,Education
English-2021-12thpdf,https://drive.google.com/file/d/1OXlX-DySTevjQX595TEAiz4Vs2HsihK0/view?usp=drivesdk,12th,no,English
English-2020-12thpdf,https://drive.google.com/file/d/1ph1z72srmGHt8zI9P-Alo_Gjc4V3bQ_n/view?usp=drivesdk,12th,no,English
English-2022-12thpdf,https://drive.google.com/file/d/1oLw7yKpaNcgyPiIHm_x6drrgu3VDBjK4/view?usp=drivesdk,12th,no,English
Geography-2020-12thpdf,https://drive.google.com/file/d/1K1Zst4l-KTmA03G7KeZCQfUjNOUECz_n/view?usp=drivesdk,12th,no,Geography
English-2025-12thpdf,https://drive.google.com/file/d/1mDLJ2FeBNmNuhlK_tbv5BpfoRCSnbCJ1/view?usp=drivesdk,12th,no,English
English-2023-12thpdf,https://drive.google.com/file/d/1QiPXMkZdu3i8RE0Dsdy-_vxwmMAkRzu4/view?usp=drivesdk,12th,no,English
Geography-2025-12thpdf,https://drive.google.com/file/d/1xbwUJCH2qxkg5LTO8Q-PuyfrnlzT6mtX/view?usp=drivesdk,12th,no,Geography
Geography-2023-12thpdf,https://drive.google.com/file/d/1hEMybxaiUDQ0FMxcVVxUV5KEnxvgi7LN/view?usp=drivesdk,12th,no,Geography
Geography-2022-12thpdf,https://drive.google.com/file/d/1_qCUGRZ3gtAiU2cl10BLiyw9fzNbVmLc/view?usp=drivesdk,12th,no,Geography
Geography-2021-12thpdf,https://drive.google.com/file/d/1itBDbHUvaVAPWTmnWC6Wqjqq6mciX6Ci/view?usp=drivesdk,12th,no,Geography
History-2023-12thpdf,https://drive.google.com/file/d/11gO_El-to6r6hGL28h_dsT3XYhnuE7d_/view?usp=drivesdk,12th,no,History
History-2022-12thpdf,https://drive.google.com/file/d/1DLuBa_HVUH154qpgPsDk_-zVbNGVT7T7/view?usp=drivesdk,12th,no,History
History-2021-12thpdf,https://drive.google.com/file/d/1pfVJL24IAsAyCqRtwHCXfe2XwGGRR86X/view?usp=drivesdk,12th,no,History
History-2020-12thpdf,https://drive.google.com/file/d/10T2smGwVELB45Hpek0MGdtKmVJ5qpk1T/view?usp=drivesdk,12th,no,History
Hindi-2023-12thpdf,https://drive.google.com/file/d/1Vrurn-mbAdFIAs8l8xjEK3rpmTecrGDi/view?usp=drivesdk,12th,no,Hindi
Mathematics-2019-12thpdf,https://drive.google.com/file/d/1HHUIIgLfCYujd6ZsrkrjIEYGPD_jAHfR/view?usp=drivesdk,12th,no,Mathematics
Mathematics-2018-12thpdf,https://drive.google.com/file/d/1SM6zWygKBd7wSt5DbVcbnuegBQLybKvJ/view?usp=drivesdk,12th,no,Mathematics
Mathematics-2010-12thpdf,https://drive.google.com/file/d/120aY3IE9A4OXnMRU-LoZhxkmaoN7Ytku/view?usp=drivesdk,12th,no,Mathematics
History-2025-12thpdf,https://drive.google.com/file/d/1kuTmoxGZ-IUDmIwqtfEMu_cFZvVeKmH3/view?usp=drivesdk,12th,no,History
Mathematics-2023-12thpdf,https://drive.google.com/file/d/1J0lko6ASwL04Z4hPE6uf3URiKe4eyyhi/view?usp=drivesdk,12th,no,Mathematics
Mathematics-2022-12thpdf,https://drive.google.com/file/d/1H2erh4ZRV2VNf1AwBsYqPAv0YNbxPyC0/view?usp=drivesdk,12th,no,Mathematics
Mathematics-2021-12thpdf,https://drive.google.com/file/d/1YxZuEe-TVwzGHN4QawGanM4OjMPuaAmu/view?usp=drivesdk,12th,no,Mathematics
Mathematics-2020-12thpdf,https://drive.google.com/file/d/1KU5KiS6MwqPk8Crc0daLIYAu9y4XsQXs/view?usp=drivesdk,12th,no,Mathematics
Physics-2020-12thpdf,https://drive.google.com/file/d/1aHyIMrgrhQUEqDX_hXU9myl-iweqkh8-/view?usp=drivesdk,12th,no,Physics
Physics-2019-12thpdf,https://drive.google.com/file/d/1gQMIU31dlB1pr42lIsW0tGsPMuLxhU58/view?usp=drivesdk,12th,no,Physics
Physics-2018-12thpdf,https://drive.google.com/file/d/1XWpjSVAgGBldNgCCbQ5pe8EQ4tZh8FKn/view?usp=drivesdk,12th,no,Physics
Mathematics-2025-12thpdf,https://drive.google.com/file/d/1PeCcI3ZcH3PMo7ZrLZOa-pTqPBg77vQJ/view?usp=drivesdk,12th,no,Mathematics
Physics-2021-12thpdf,https://drive.google.com/file/d/1hSv5l8LB3Mr5-ad6Z9ujI51vMwUwqXYN/view?usp=drivesdk,12th,no,Physics
Physics-2023-12thpdf,https://drive.google.com/file/d/1aoV3khoUs2SZu9HHtLF3rId08kcO4z_U/view?usp=drivesdk,12th,no,Physics
Physics-2022-12thpdf,https://drive.google.com/file/d/130BESWGDIh4OVTJSCn1fVTfoSuJTYNvR/view?usp=drivesdk,12th,no,Physics
Sociology-2023-12thpdf,https://drive.google.com/file/d/1lr3nibyT4vMo5PkINudUojAym-HFQgXI/view?usp=drivesdk,12th,no,Sociology
Sociology-2021-12thpdf,https://drive.google.com/file/d/1qhJY8hCMXPp2EXDcYwyUje7uVkFgxF7g/view?usp=drivesdk,12th,no,Sociology
Sociology-2020-12thpdf,https://drive.google.com/file/d/1FRfQ8uvJ9pJ4TZvYy2NUICMOlXLTAgDz/view?usp=drivesdk,12th,no,Sociology
Physics-2025-12thpdf,https://drive.google.com/file/d/1SoLb5eoQcYiek1-lDIgzSjTTFxeWgx1i/view?usp=drivesdk,12th,no,Physics
Urdu-2021-12thpdf,https://drive.google.com/file/d/1BQ1x0M3gSe7hKt5U3gjAlTYnmP7675Wk/view?usp=drivesdk,12th,no,Urdu
Urdu-2012-12thpdf,https://drive.google.com/file/d/10urLybFgFdTECEUSSeWMwhMKORjZqsdM/view?usp=drivesdk,12th,no,Urdu
Statistics-2025-12thpdf,https://drive.google.com/file/d/1WqCFYACIt0WLn7d7zx6ecCyDcidGCBBL/view?usp=drivesdk,12th,no,Statistics
Sociology-2025-12thpdf,https://drive.google.com/file/d/1WOugRNqZyR0Dq4Ys-82HasOGqUsiovYK/view?usp=drivesdk,12th,no,Sociology
Zoology-2019-12thpdf,https://drive.google.com/file/d/1OoctOQzcVE4zz0gL_grIW2dsDZ4JVcJj/view?usp=drivesdk,12th,no,Zoology
Zoology-2018-12thpdf,https://drive.google.com/file/d/1NnxSp3cbPfbMULddGbHQntKVAsqVmSKe/view?usp=drivesdk,12th,no,Zoology
Urdu-2023-12thpdf,https://drive.google.com/file/d/1DfatQBzT_6D3zGBv5HcM1ehokmYVZamn/view?usp=drivesdk,12th,no,Urdu
Zoology-2025-12thpdf,https://drive.google.com/file/d/1C9D4Vfhy090tEq5d7vgjGe67_fyKGv8N/view?usp=drivesdk,12th,no,Zoology
Zoology-2023-12thpdf,https://drive.google.com/file/d/1ud5wgO2pIGNOa2ufmbW0dB5zlpGPSZJz/view?usp=drivesdk,12th,no,Zoology
Zoology-2022-12thpdf,https://drive.google.com/file/d/1UAt1i2yYxnJepUrp417Lx-o3G3D77tTg/view?usp=drivesdk,12th,no,Zoology
Zoology-2021-12thpdf,https://drive.google.com/file/d/1gNi-kNdGHtJd6DgXQVL-nPFidxgXO_hk/view?usp=drivesdk,12th,no,Zoology
Zoology-2020-12thpdf,https://drive.google.com/file/d/1OlycmNXhsNLhLptA-dsNZ_53NbkVCAt0/view?usp=drivesdk,12th,no,Zoology
Environmental-Science-2021-12thpdf,https://drive.google.com/file/d/1Btm5sitPHLeJ0sGwjLwZa32T-yjVt_eu/view?usp=drivesdk,12th,no,Environmental
Environmental-Science-2020-12thpdf,https://drive.google.com/file/d/1nuC16mMowaV4aEdoK2Gvy4Q8MX0ked-2/view?usp=drivesdk,12th,no,Environmental
Environmental-Science-2024-12thpdf,https://drive.google.com/file/d/1J-DdvRcR0Kad1VqmIGP0kEhI6fKbKSfO/view?usp=drivesdk,12th,no,Environmental
Environmental-Science-2023-12thpdf,https://drive.google.com/file/d/1j61tIRuuYYnChSz8imbQijVYR_jdRZUu/view?usp=drivesdk,12th,no,Environmental
Environmental-Science-2022-12thpdf,https://drive.google.com/file/d/1IFiic_Q7ZYAFaKwH31gcpKTnKSNlyD9-/view?usp=drivesdk,12th,no,Environmental
Physical-Education-2021-12thpdf,https://drive.google.com/file/d/1u5fRsEYibSKbpADkmcxXCCCIoOK4Flfp/view?usp=drivesdk,12th,no,Physical
Physical-Education-2020-12thpdf,https://drive.google.com/file/d/195i7307BZ6ZAvMP-UWOfcE_iOWv1SasY/view?usp=drivesdk,12th,no,Physical
Physical-Education-2019-12thpdf,https://drive.google.com/file/d/1Rtr6zioM1dSXDAaJoyecdIpR6a-kNVm_/view?usp=drivesdk,12th,no,Physical
Environmental-Science-2025-12thpdf,https://drive.google.com/file/d/1MdzvNrxSDq_2lHwrQmDdqTJ7wqKuwN0y/view?usp=drivesdk,12th,no,Environmental
Physical-Education-2023-12thpdf,https://drive.google.com/file/d/12Gd_OKmSLwhNKb1eGYItGAJEXIjr324v/view?usp=drivesdk,12th,no,Physical
Physical-Education-2022-12thpdf,https://drive.google.com/file/d/19K_57L8t570xjbf5nDbD4SRB891_GOzs/view?usp=drivesdk,12th,no,Physical
Political-Science-2018-12thpdf,https://drive.google.com/file/d/1x8gMLAYia3kTV4g1FXcR-5pftTrPIYJX/view?usp=drivesdk,12th,no,Political
Political-Science-2017-12thpdf,https://drive.google.com/file/d/1_4GQZ3xNQDGwgVyzHCiWO345aIia5DG9/view?usp=drivesdk,12th,no,Political
Physical-Education-2025-12thpdf,https://drive.google.com/file/d/1F7GEDO1C_D1mM84IOapvQ3MBFZMdWzQL/view?usp=drivesdk,12th,no,Physical
Physical-Education-2024-12thpdf,https://drive.google.com/file/d/1zFPiBUtEwpsgJD43IZ1FQtK6zodFkX6J/view?usp=drivesdk,12th,no,Physical
Political-Science-2023-12thpdf,https://drive.google.com/file/d/1vSP_TuiL6RZi5NQ6q8kmzdYp1t4V3TL4/view?usp=drivesdk,12th,no,Political
Urdu-pyqs-2020-11th.pdf,https://drive.google.com/file/d/10WHd11EWi74Rk1S35AIr3uLpaSH6ydJ0/view?usp=drivesdk,11th,no,Urdu
Urdu-pyqs-2019-11th.pdf,https://drive.google.com/file/d/1dBrMnnuFk781XegxmXCQUZP1EpY1oPDw/view?usp=drivesdk,11th,no,Urdu
Sociology-pyqs-2023-11th.pdf,https://drive.google.com/file/d/10B0DR8-VEWsUOTGP4qZB6iuNJaQQ-_tE/view?usp=drivesdk,11th,no,Sociology
Sociology-pyqs-2025-11th.pdf,https://drive.google.com/file/d/14f7PO9NfOZsLJSkrEq49kKVU56MRVafb/view?usp=drivesdk,11th,no,Sociology
